get_in_M,Avr gets
5844,17.8529
5849,17.8679
5854,17.8829
5859,17.8443
5864,17.8593
5869,17.8743
5874,17.8892
5879,17.9042
5884,17.9192
5889,17.9341
5894,17.8955
5899,17.9104
5904,17.9254
5914,17.9018
5919,17.8635
5924,17.8783
5929,17.8402
5934,17.8024
5939,17.8171
5944,17.8319
5949,17.7941
5954,17.7566
5959,17.7713
5964,17.7339
5969,17.6968
5974,17.7114
5979,17.6744
5984,17.6377
5989,17.6522
5994,17.6667
5999,17.6812
6004,17.6957
6009,17.7101
6014,17.7246
6019,17.7391
6024,17.7536
6029,17.7168
6034,17.6801
6039,17.6437
6044,17.5571
6049,17.5714
6054,17.5356
6059,17.5
6064,17.5142
6069,17.5284
6074,17.5426
6079,17.5568
6084,17.571
6089,17.5852
6094,17.5994
6099,17.6136
6104,17.6278
6109,17.5921
6114,17.6062
6119,17.5706
6124,17.5352
6129,17.5493
6134,17.514
6139,17.5281
6144,17.493
6149,17.507
6154,17.521
6159,17.535
6164,17.549
6169,17.563
6174,17.577
6179,17.591
6184,17.507
6189,17.5209
6194,17.4861
6199,17.5
6204,17.4171
6209,17.4309
6214,17.4448
6219,17.4586
6224,17.4724
6229,17.4862
6234,17.5
6239,17.5138
6244,17.5276
6249,17.5414
6254,17.5552
6259,17.5691
6264,17.5344
6269,17.5
6274,17.5137
6279,17.5275
6284,17.5412
6289,17.5068
6294,17.4727
6299,17.4863
6304,17.4523
6309,17.4659
6314,17.4796
6319,17.4457
6324,17.4119
6329,17.4255
6334,17.439
6339,17.4526
6344,17.4661
6349,17.4797
6354,17.4932
6359,17.5068
6364,17.5203
6369,17.4865
6374,17.5
6379,17.5135
6384,17.527
6389,17.5405
6394,17.5541
6399,17.5676
6404,17.5337
6409,17.5472
6414,17.5606
6419,17.5741
6424,17.5876
6429,17.6011
6434,17.5201
6439,17.5335
6444,17.5
6449,17.4667
6454,17.48
6459,17.4933
6464,17.5067
6469,17.52
6474,17.5333
6479,17.5
6484,17.4668
6489,17.4801
6494,17.4471
6499,17.4603
6504,17.4735
6509,17.3491
6519,17.3753
6524,17.3885
6529,17.4016
6534,17.4147
6539,17.3822
6544,17.3953
6549,17.3629
6554,17.3307
6559,17.3438
6564,17.3117
6569,17.3247
6574,17.3377
6579,17.3057
6584,17.3187
6589,17.2868
6594,17.2552
6599,17.2237
6604,17.2365
6609,17.2494
6614,17.2622
6619,17.2751
6624,17.2879
6629,17.3008
6634,17.3136
6639,17.2821
6644,17.2949
6649,17.3077
6654,17.3205
6659,17.3333
6664,17.3462
6669,17.359
6674,17.3718
6679,17.2959
6684,17.2646
6689,17.2335
6694,17.2462
6699,17.2152
6704,17.1843
6709,17.197
6714,17.2096
6719,17.2222
6724,17.2348
6729,17.2475
6734,17.2601
6739,17.2727
6744,17.2418
6749,17.2111
6754,17.1805
6759,17.15
6764,17.1197
6769,17.1322
6774,17.1446
6779,17.1144
6784,17.0844
6794,17.1092
6799,17.1216
6804,17.134
6809,17.1464
6819,17.1287
6824,17.1411
6829,17.1535
6834,17.1658
6839,17.1782
6844,17.1906
6849,17.1605
6854,17.1728
6859,17.1852
6864,17.1975
6869,17.2099
6874,17.2222
6879,17.2346
6884,17.2044
6889,17.1744
6894,17.1446
6899,17.1569
6904,17.1691
6909,17.1814
6914,17.1936
6919,17.2059
6924,17.2181
6929,17.2304
6934,17.2426
6939,17.2549
6944,17.2672
6949,17.2794
6954,17.2917
6959,17.2195
6964,17.2317
6969,17.2439
6974,17.2561
6979,17.2683
6984,17.2805
6989,17.2927
6994,17.3049
6999,17.3171
7004,17.3293
7009,17.2993
7014,17.3114
7019,17.3236
7024,17.3358
7029,17.3479
7034,17.3601
7039,17.3301
7044,17.3422
7054,17.3245
7059,17.3366
7064,17.3068
7069,17.3188
7074,17.3309
7079,17.343
7084,17.3551
7089,17.3671
7094,17.3792
7099,17.3913
7104,17.4034
7109,17.4155
7114,17.4275
7119,17.4396
7124,17.4517
7129,17.4638
7134,17.4758
7139,17.4879
7144,17.5
7149,17.4699
7154,17.4819
7159,17.4519
7164,17.4639
7169,17.4341
7174,17.446
7179,17.458
7184,17.47
7189,17.482
7194,17.4522
7199,17.4641
7204,17.4761
7209,17.488
7214,17.5
7219,17.512
7224,17.5239
7229,17.4524
7234,17.4643
7239,17.4762
7244,17.4466
7249,17.4584
7254,17.4703
7264,17.4941
7269,17.5059
7274,17.5178
7279,17.4882
7284,17.4586
7289,17.4704
7294,17.4823
7299,17.4941
7304,17.5059
7309,17.5177
7314,17.5296
7319,17.5414
7324,17.5532
7329,17.565
7334,17.5768
7339,17.5887
7344,17.6005
7349,17.4883
7354,17.5
7359,17.4299
7364,17.3605
7369,17.3721
7374,17.3837
7379,17.355
7384,17.3264
7389,17.2979
7394,17.3095
7399,17.321
7404,17.2926
7409,17.3041
7414,17.3157
7419,17.3272
7424,17.2989
7429,17.3103
7434,17.3218
7439,17.3333
7444,17.3448
7449,17.3563
7454,17.3678
7459,17.3394
7464,17.3112
7469,17.3227
7474,17.2551
7479,17.2665
7484,17.2779
7489,17.2893
7494,17.3007
7499,17.2727
7504,17.2841
7509,17.2955
7514,17.3068
7519,17.3182
7524,17.3295
7529,17.3016
7534,17.3129
7539,17.3243
7544,17.3356
7549,17.3469
7554,17.319
7559,17.2912
7564,17.3025
7569,17.3138
7574,17.3251
7579,17.3363
7584,17.3086
7589,17.2809
7594,17.2534
7599,17.226
7604,17.2371
7609,17.2483
7614,17.2595
7619,17.2707
7624,17.2049
7629,17.216
7634,17.2272
7639,17.2383
7644,17.2111
7649,17.2222
7654,17.2333
7659,17.2444
7664,17.2556
7669,17.2667
7674,17.2013
7679,17.2124
7684,17.2235
7689,17.2345
7694,17.2456
7699,17.2566
7704,17.2296
7709,17.2406
7714,17.2517
7719,17.2627
7724,17.2357
7729,17.2088
7734,17.2198
7739,17.2308
7744,17.2418
7749,17.2149
7754,17.2259
7759,17.2368
7764,17.2101
7769,17.221
7774,17.2319
7779,17.2429
7784,17.2538
7789,17.2648
7794,17.2757
7799,17.2867
7804,17.2976
7809,17.3085
7814,17.3195
7819,17.3304
7824,17.3035
7829,17.3144
7834,17.3253
7839,17.3362
7844,17.3472
7849,17.3581
7854,17.3312
7859,17.342
7864,17.3152
7869,17.2885
7874,17.2619
7879,17.2727
7884,17.2091
7889,17.2198
7894,17.2306
7899,17.2043
7904,17.2151
7909,17.2258
7914,17.2366
7919,17.2473
7924,17.2581
7929,17.2688
7934,17.2796
7939,17.2903
7944,17.2639
7949,17.2747
7954,17.2854
7959,17.2961
7964,17.3069
7969,17.3176
7974,17.3283
7979,17.3391
7984,17.3498
7989,17.3605
7994,17.3712
7999,17.3077
8004,17.2814
8009,17.2921
8014,17.3028
8019,17.2399
8029,17.2611
8034,17.2718
8039,17.2824
8044,17.293
8049,17.3036
8054,17.3142
8059,17.3248
8064,17.3355
8069,17.3461
8079,17.3305
8084,17.3411
8089,17.3517
8094,17.3623
8099,17.3362
8104,17.2737
8109,17.2479
8114,17.2584
8119,17.2327
8124,17.2071
8129,17.2176
8134,17.1563
8139,17.131
8144,17.1414
8149,17.1518
8154,17.1266
8159,17.1369
8164,17.1473
8169,17.1577
8174,17.1325
8179,17.1429
8184,17.1178
8189,17.1281
8194,17.1384
8199,17.1488
8204,17.1237
8209,17.134
8214,17.1443
8219,17.1546
8224,17.1649
8229,17.1753
8234,17.1856
8239,17.1959
8244,17.1708
8249,17.1811
8254,17.1561
8259,17.1663
8264,17.1766
8269,17.1869
8274,17.1619
8279,17.1721
8284,17.1824
8289,17.1926
8294,17.1677
8299,17.1779
8304,17.1881
8309,17.1633
8314,17.1735
8319,17.1837
8324,17.1589
8329,17.169
8334,17.1792
8339,17.1894
8344,17.1646
8349,17.1748
8354,17.185
8359,17.1602
8364,17.1704
8369,17.1805
8374,17.1559
8379,17.166
8384,17.1761
8389,17.1862
8394,17.1616
8399,17.1717
8404,17.1818
8409,17.1919
8414,17.202
8419,17.2121
8424,17.2222
8429,17.2323
8434,17.2424
8439,17.2525
8444,17.1932
8449,17.2032
8454,17.2133
8459,17.2233
8464,17.1988
8469,17.2088
8474,17.2189
8479,17.1944
8484,17.2044
8489,17.18
8494,17.19
8499,17.2
8504,17.21
8509,17.1856
8514,17.1956
8519,17.2056
8524,17.1813
8529,17.1912
8534,17.2012
8539,17.2112
8544,17.2211
8549,17.1968
8554,17.1726
8559,17.1825
8564,17.1925
8569,17.1683
8574,17.1782
8579,17.1542
8584,17.164
8589,17.1739
8594,17.1499
8599,17.1598
8604,17.1696
8609,17.1795
8614,17.1893
8619,17.1992
8624,17.2091
8629,17.2189
8634,17.2288
8639,17.2387
8644,17.2485
8649,17.2584
8654,17.2682
8659,17.2781
8664,17.288
8669,17.2978
8674,17.2397
8679,17.2495
8684,17.2593
8689,17.2353
8694,17.2451
8699,17.2549
8704,17.2647
8709,17.2745
8714,17.2843
8719,17.2603
8724,17.2701
8729,17.2798
8734,17.2559
8739,17.2656
8744,17.2754
8749,17.2852
8754,17.2949
8759,17.3047
8764,17.2807
8769,17.2568
8774,17.233
8779,17.2427
8784,17.2524
8789,17.2287
8794,17.1718
8799,17.1815
8804,17.158
8809,17.1676
8814,17.1773
8819,17.1869
8824,17.1965
8829,17.2062
8834,17.1827
8839,17.1923
8844,17.2019
8849,17.1785
8854,17.1881
8859,17.1977
8864,17.2073
8869,17.1839
8874,17.1606
8879,17.1702
8884,17.1797
8889,17.1238
8894,17.1008
8899,17.0778
8904,17.0873
8909,17.0644
8914,17.0739
8919,17.0833
8924,17.0928
8929,17.1023
8934,17.1117
8939,17.0888
8944,17.066
8949,17.0755
8954,17.0527
8959,17.0621
8964,17.0716
8969,17.081
8974,17.0904
8979,17.0998
8984,17.1092
8989,17.1186
8994,17.1281
8999,17.1375
9004,17.1469
9009,17.1563
9014,17.1657
9019,17.1751
9024,17.1846
9029,17.194
9034,17.2034
9039,17.2128
9044,17.2222
9049,17.2316
9054,17.2411
9059,17.1857
9064,17.1951
9069,17.1723
9074,17.1816
9079,17.191
9084,17.2004
9094,17.1549
9099,17.1322
9104,17.1415
9109,17.1508
